Species,Family,Heterozygosity,Allelic richness,Breeding range size,Body mass,Latitude,Migratory status,References
Cyanoramphus malherbi,Psittaciformes,0.35,3.28,8.9281,47,42.56,Resident,Andrews et al. 2013; Willoughby et al. 2015
Cyanoramphus novaezelandiae,Psittaciformes,0.454,3.79,50.4688,90,34.23,Resident,Grueber et al. 2015
Myiopsitta monachus,Psittaciformes,0.64,6,379.9094,120,7.77,Resident,da Silva et al. 2010; Willoughby et al. 2015
Nestor meridionalis,Psittaciformes,0.42,6.2,16.7309,428,40.13,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Poicephalus robustus,Psittaciformes,0.629,7,380.4933,343,10.05,Resident,Hughes 2010; Pillay et al. 2010
Psittacula eques,Psittaciformes,0.678,5.57,0.1148,163,20.38,Resident,Raisin et al. 2009; Willoughby et al. 2015
Psittacus erithacus,Psittaciformes,0.742,8.5,276.7839,333,0.11,Resident,Hughes 2010; Willoughby et al. 2015
Pyrrhura orcesi,Psittaciformes,0.641,5.64,0.0747,71,3.26,Resident,Aurelle et al. 2010; Willoughby et al. 2015
Strigops habroptila,Psittaciformes,0.48,3.33,3.596,1732,43.51,Resident,Robertson et al. 2009; Willoughby et al. 2015
Centropus phasianinus,Cuculiformes,0.638,6,298.4076,382,17.67,Resident,Maurer et al. 2005; Willoughby et al. 2015
Chrysococcyx basalis,Cuculiformes,0.78,12.1,959.9697,23,14.77,Migratory,Hughes 2010; Adcock et al. 2007
Chrysococcyx lucidus,Cuculiformes,0.76,7.6,375.8247,24,23.69,Migratory,Hughes 2010; Adcock et al. 2007
Chrysococcyx minutillus,Cuculiformes,0.78,10.6,309.2685,19,18.89,Migratory,Hughes 2010; Adcock et al. 2007
Clamator glandarius,Cuculiformes,0.654,6.7,1506.1408,143,8.37,Migratory,Evans and Sheldon 2008; Martinez et al. 1998
Crotophaga ani,Cuculiformes,0.755,6.2,1508.4006,110,12.48,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Cuculus canorus,Cuculiformes,0.832,13.29,10380.284,111,27.15,Migratory,Gibbs et al. 1998; Willoughby et al. 2015
Geococcyx californianus,Cuculiformes,0.761,9.67,410.2958,376,30.77,Resident,MacDonald et al. 2013; Willoughby et al. 2015
Guira guira,Cuculiformes,0.768,9.9,945.26,141,20.34,Migratory,Evans and Sheldon 2008; Muniz et al. 2003
Aegolius funereus,Strigiformes,0.502,6.14,8305.3672,137,56.76,Migratory,Evans and Sheldon 2008; Koopman et al. 2004
Athene cunicularia,Strigiformes,0.816,11.55,2011.8752,151,6.36,Migratory,Macias-Duarte et al. 2010; Willoughby et al. 2015
Athene noctua,Strigiformes,0.713,6.17,4828.9027,169,43.24,Resident,Aurelle et al. 2010; Willoughby et al. 2015
Bubo bubo,Strigiformes,0.664,4.86,8156.1257,2669,49.32,Resident,Kleven et al. 2013; Willoughby et al. 2015
Glaucidium brasilianum,Strigiformes,0.667,10.4,1545.9643,75,7.12,Resident,Evans and Sheldon 2008; Proudfoot et al. 2005
Ninox connivens,Strigiformes,0.594,6.75,341.5938,578,24.17,Resident,Hogan et al. 2009; Willoughby et al. 2015
Ninox novaeseelandiae,Strigiformes,0.756,9.56,48.5585,183,41.78,Resident,Hogan et al. 2009; Willoughby et al. 2015
Ninox strenua,Strigiformes,0.589,4.64,80.6379,1346,32.12,Resident,Hughes 2010; Hogan et al. 2007
Otus elegans,Strigiformes,0.797,11.17,0.4912,124,25.8,Resident,Evans and Sheldon 2008; Hsu et al. 2003
Strix aluco,Strigiformes,0.667,7.43,2359.6237,473,49.51,Resident,Brito 2007; Willoughby et al. 2015
Strix nebulosa,Strigiformes,0.58,4.06,7638.8786,1062,58.21,Resident,Hughes 2010; Willoughby et al. 2015
Strix occidentalis,Strigiformes,0.786,9.86,188.7561,586,42.62,Resident,Thode et al.2002; Willoughby et al. 2015
Tyto alba,Strigiformes,0.6,4.14,7897.3586,403,9.91,Resident,Burri et al. 2008; Willoughby et al. 2015
Eulampis jugularis,Apodiformes,0.42,3.15,0.5623,9,13.76,Resident,Khimoun et al. 2016
Selasphorus platycercus,Apodiformes,0.705,9.4,100.2742,4,33.91,Migratory,Oyler-McCance et al. 2011; Willoughby et al. 2015
Trochilus polytmus,Apodiformes,0.649,5.57,1.1318,5,18.16,Resident,Lance et al. 2009; Willoughby et al. 2015
Trochilus scitulus,Apodiformes,0.625,5.71,0.0881,4,18.06,Resident,Lance et al. 2009; Willoughby et al. 2015
Buceros bicornis,Coraciiformes,0.666,10.67,325.9943,2791,15.78,Resident,Hughes 2010; Willoughby et al. 2015
Ceyx pictus,Coraciiformes,0.824,8.15,1439.5868,13,1.61,Migratory,Evans and Sheldon 2008; Bardeleben and Gray 2005b
Merops ornatus,Coraciiformes,0.688,7,797.6211,30,16.33,Migratory,Adcock et al. 2006; Willoughby et al. 2015
Upupa epops,Coraciiformes,0.76,7.89,7412.2129,67,20.84,Migratory,Hughes 2010; Willoughby et al. 2015
Colaptes auratus,Piciformes,0.849,16,2904.1978,132,40.86,Migratory,Hughes 2010; Kuhn et al. 2009
Dendrocopos medius,Piciformes,0.632,4.5,876.1114,59,47.61,Resident,Vila et al. 2008; Willoughby et al. 2015
Picoides arcticus,Piciformes,0.576,6.91,2087.2948,69,54.53,Resident,Pierson et al. 2010; Willoughby et al. 2015
Picoides borealis,Piciformes,0.64,6.25,128.3513,48,33.32,Resident,Hughes 2010; Willoughby et al. 2015
Picoides tridactylus,Piciformes,0.709,7.65,8625.8116,66,57.81,Resident,Hughes 2010; Willoughby et al. 2015
Acanthisitta chloris,Passeriformes,0.68,5.56,37.0967,7,42.18,Resident,Preston et al. 2013; Willoughby et al. 2015
Acridotheres tristis,Passeriformes,0.636,4.92,1058.3088,116,7.47,Resident,Berthouly-Salazar et al. 2012; Willoughby et al. 2015
Acrocephalus arundinaceus,Passeriformes,0.578,10.57,3792.5312,30,14.32,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Acrocephalus paludicola,Passeriformes,0.515,5.45,487.1428,12,42.87,Migratory,Salewski et al. 2012; Willoughby et al. 2015
Acrocephalus sechellensis,Passeriformes,0.543,3.5,0.0004,16,4.14,Resident,Hughes 2010; Brouwer et al. 2007
Aegithalos caudatus,Passeriformes,0.676,11.6,4940.4587,9,56.14,Resident,Simeoni et al. 2007; Willoughby et al. 2015
Ammodramus caudacutus,Passeriformes,0.831,14.7,23.2602,19,37.5,Migratory,Hughes 2010; Hill et al. 2008
Ammodramus maritimus,Passeriformes,0.81,9.64,25.1665,22,32.02,Resident,Lehmicke et al. 2012; Willoughby et al. 2015
Ammodramus savannarum,Passeriformes,0.74,13.2,915.6667,18,28.55,Migratory,Bulgin et al. 2003; Willoughby et al. 2015
Andropadus virens,Passeriformes,0.659,7.15,584.3395,27,0.73,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
